ActivityID,Name,Location,Type,Cost,Duration,Rating
97,Sagrada Familia_97,Bangkok,Outdoor,82,3,3.6
98,Grand Palace_98,New York,Outdoor,48,1,4.6
99,Table Mountain_99,Rome,Cultural,112,2,3.5
100,Christ the Redeemer_100,New York,Family-friendly,54,5,4.5
101,Eiffel Tower_101,London,Historical,182,2,4.3
102,Shinjuku Gyoen_102,Cape Town,Scenic,198,7,4.0
103,Statue of Liberty_103,Cape Town,Outdoor,162,6,3.7
104,British Museum_104,Rome,Scenic,61,3,3.6
105,Pantheon_105,Rio de Janeiro,Historical,83,4,4.0
106,Louvre Museum_106,Barcelona,Cultural,1,7,3.7
107,Tokyo Skytree_107,Rio de Janeiro,Outdoor,46,7,3.4
108,Central Park_108,Barcelona,Cultural,196,4,4.4
109,Ueno Zoo_109,Sydney,Historical,3,1,4.3
110,Colosseum_110,London,Cultural,110,5,3.6
111,Sydney Opera House_111,New York,Family-friendly,122,8,3.1
112,Sagrada Familia_112,Cape Town,Cultural,185,7,3.7
113,Grand Palace_113,Bangkok,Historical,188,4,3.8
114,Table Mountain_114,Tokyo,Cultural,174,4,4.6
115,Christ the Redeemer_115,Paris,Outdoor,39,6,4.1
116,Eiffel Tower_116,Tokyo,Scenic,51,4,5.0
117,Shinjuku Gyoen_117,New York,Historical,171,5,5.0
118,Statue of Liberty_118,New York,Cultural,140,1,4.2
119,British Museum_119,Barcelona,Cultural,200,8,3.3
120,Pantheon_120,Rio de Janeiro,Family-friendly,33,6,4.4
121,Louvre Museum_121,Tokyo,Scenic,116,7,4.3
122,Tokyo Skytree_122,Barcelona,Historical,135,7,4.3
123,Central Park_123,Barcelona,Cultural,26,2,4.4
124,Ueno Zoo_124,Rio de Janeiro,Family-friendly,65,4,3.9
125,Colosseum_125,Bangkok,Scenic,106,2,4.3
126,Sydney Opera House_126,Cape Town,Family-friendly,152,4,3.9
127,Sagrada Familia_127,Rome,Family-friendly,99,8,4.3
128,Grand Palace_128,Cape Town,Historical,198,5,4.7
129,Table Mountain_129,Paris,Family-friendly,125,4,3.9
130,Christ the Redeemer_130,Tokyo,Cultural,96,3,3.8
131,Eiffel Tower_131,Cape Town,Family-friendly,120,7,3.2
132,Shinjuku Gyoen_132,Rome,Historical,20,1,4.6
133,Statue of Liberty_133,Sydney,Cultural,76,1,4.6
134,British Museum_134,Tokyo,Family-friendly,145,4,3.6
135,Pantheon_135,Rome,Cultural,134,5,5.0
136,Louvre Museum_136,Barcelona,Historical,62,3,3.6
137,Tokyo Skytree_137,New York,Outdoor,141,3,4.8
138,Central Park_138,Bangkok,Historical,101,7,4.4
139,Ueno Zoo_139,Paris,Family-friendly,78,2,4.4
140,Colosseum_140,Rome,Outdoor,141,5,3.6
141,Sydney Opera House_141,Cape Town,Scenic,139,3,3.7
142,Sagrada Familia_142,New York,Historical,121,2,4.4
143,Grand Palace_143,Cape Town,Historical,133,8,4.9
144,Table Mountain_144,Tokyo,Cultural,176,6,4.7
145,Christ the Redeemer_145,Rome,Cultural,164,3,4.4
146,Eiffel Tower_146,Cape Town,Historical,129,7,4.2
147,Shinjuku Gyoen_147,Rio de Janeiro,Outdoor,174,7,4.4
148,Statue of Liberty_148,London,Scenic,164,2,4.5
149,British Museum_149,New York,Historical,123,6,3.7
150,Pantheon_150,Sydney,Historical,180,1,4.0
151,Louvre Museum_151,New York,Cultural,193,3,4.5
152,Tokyo Skytree_152,Cape Town,Cultural,198,8,3.5
153,Central Park_153,Cape Town,Historical,50,1,3.6
154,Ueno Zoo_154,Paris,Historical,129,4,3.3
155,Colosseum_155,Rio de Janeiro,Scenic,16,4,4.3
156,Sydney Opera House_156,Sydney,Cultural,39,8,3.0
157,Sagrada Familia_157,Bangkok,Scenic,145,4,3.6
158,Grand Palace_158,Paris,Historical,68,7,4.3
159,Table Mountain_159,Tokyo,Cultural,96,4,3.1
160,Christ the Redeemer_160,Sydney,Family-friendly,94,7,3.1
161,Eiffel Tower_161,Rome,Family-friendly,125,6,5.0
162,Shinjuku Gyoen_162,London,Cultural,106,3,4.6
163,Statue of Liberty_163,Paris,Scenic,169,6,5.0
164,British Museum_164,London,Scenic,8,5,3.4
165,Pantheon_165,Rio de Janeiro,Scenic,165,7,3.2
166,Louvre Museum_166,Tokyo,Cultural,34,7,4.1
167,Tokyo Skytree_167,Tokyo,Cultural,69,1,4.9
168,Central Park_168,Bangkok,Scenic,151,4,3.6
169,Ueno Zoo_169,Tokyo,Scenic,24,4,3.4
170,Colosseum_170,Cape Town,Outdoor,32,2,4.6
171,Sydney Opera House_171,New York,Historical,78,5,4.5
172,Sagrada Familia_172,New York,Family-friendly,104,1,4.5
173,Grand Palace_173,Bangkok,Outdoor,144,5,3.3
174,Table Mountain_174,Cape Town,Cultural,5,5,4.2
175,Christ the Redeemer_175,New York,Scenic,41,1,4.2
176,Eiffel Tower_176,Rome,Scenic,93,4,4.1
177,Shinjuku Gyoen_177,Cape Town,Cultural,153,7,3.7
178,Statue of Liberty_178,Rio de Janeiro,Historical,169,5,4.7
179,British Museum_179,Barcelona,Cultural,97,2,3.3
180,Pantheon_180,London,Family-friendly,196,3,3.2
181,Louvre Museum_181,Cape Town,Historical,136,4,3.6
182,Tokyo Skytree_182,London,Family-friendly,22,5,4.4
183,Central Park_183,Rome,Historical,111,4,4.3
184,Ueno Zoo_184,Barcelona,Outdoor,108,6,3.3
185,Colosseum_185,Sydney,Family-friendly,77,7,4.6
186,Sydney Opera House_186,Bangkok,Cultural,2,4,3.1
187,Sagrada Familia_187,Cape Town,Family-friendly,20,1,3.1
188,Grand Palace_188,Bangkok,Historical,124,8,3.3
189,Table Mountain_189,Tokyo,Scenic,68,6,3.6
190,Christ the Redeemer_190,London,Scenic,140,3,3.1
191,Eiffel Tower_191,London,Historical,150,6,4.6
192,Shinjuku Gyoen_192,Tokyo,Family-friendly,14,1,4.2
193,Statue of Liberty_193,Sydney,Scenic,151,4,3.8
194,British Museum_194,Paris,Outdoor,179,8,4.5
195,Pantheon_195,Rio de Janeiro,Family-friendly,10,8,4.4
196,Louvre Museum_196,Cape Town,Cultural,29,8,4.1
197,Tokyo Skytree_197,London,Cultural,181,7,3.1
198,Central Park_198,Rio de Janeiro,Outdoor,56,6,3.5
199,Ueno Zoo_199,London,Cultural,6,6,3.4
200,Colosseum_200,Paris,Outdoor,174,1,3.1
201,Sydney Opera House_201,Tokyo,Cultural,47,4,3.3
202,Sagrada Familia_202,Paris,Family-friendly,143,4,4.8
203,Grand Palace_203,London,Cultural,123,7,4.1
204,Table Mountain_204,Tokyo,Historical,176,7,3.0
205,Christ the Redeemer_205,Paris,Scenic,130,7,3.9
206,Eiffel Tower_206,Sydney,Cultural,57,6,3.5
207,Shinjuku Gyoen_207,Tokyo,Scenic,50,4,3.7
208,Statue of Liberty_208,Cape Town,Family-friendly,41,5,3.9
209,British Museum_209,London,Historical,165,5,4.4
210,Pantheon_210,Rome,Historical,15,3,3.3
211,Louvre Museum_211,Bangkok,Historical,109,7,4.2
212,Tokyo Skytree_212,London,Scenic,166,3,4.8
213,Central Park_213,Cape Town,Outdoor,168,2,3.6
214,Ueno Zoo_214,New York,Outdoor,112,6,3.3
215,Colosseum_215,Rio de Janeiro,Family-friendly,180,5,3.5
216,Sydney Opera House_216,Rio de Janeiro,Historical,22,4,3.1
217,Sagrada Familia_217,Bangkok,Family-friendly,78,6,3.3
218,Grand Palace_218,London,Scenic,109,4,4.3
219,Table Mountain_219,Bangkok,Scenic,195,1,4.5
220,Christ the Redeemer_220,Barcelona,Family-friendly,176,5,3.0
221,Eiffel Tower_221,London,Cultural,122,2,4.8
222,Shinjuku Gyoen_222,Tokyo,Historical,160,8,3.8
223,Statue of Liberty_223,Tokyo,Family-friendly,15,2,3.7
224,British Museum_224,Barcelona,Historical,49,2,3.3
225,Pantheon_225,Sydney,Family-friendly,195,8,3.2
226,Louvre Museum_226,Barcelona,Historical,23,1,3.3
227,Tokyo Skytree_227,Barcelona,Outdoor,33,3,3.6
228,Central Park_228,Bangkok,Outdoor,130,4,4.3
229,Ueno Zoo_229,Paris,Family-friendly,105,4,3.4
230,Colosseum_230,Tokyo,Cultural,196,3,4.3
231,Sydney Opera House_231,Paris,Historical,152,2,4.9
232,Sagrada Familia_232,Barcelona,Historical,21,6,4.9
233,Grand Palace_233,Sydney,Cultural,175,4,3.1
234,Table Mountain_234,Tokyo,Cultural,63,8,4.5
235,Christ the Redeemer_235,London,Cultural,191,1,4.8
236,Eiffel Tower_236,London,Outdoor,36,4,3.6
237,Shinjuku Gyoen_237,London,Scenic,31,1,4.5
238,Statue of Liberty_238,Cape Town,Outdoor,71,8,3.4
239,British Museum_239,Bangkok,Outdoor,126,5,4.6
240,Pantheon_240,New York,Family-friendly,187,3,4.1
241,Louvre Museum_241,Barcelona,Historical,87,8,3.0
242,Tokyo Skytree_242,New York,Outdoor,42,3,3.3
243,Central Park_243,Rome,Outdoor,88,3,3.2
244,Ueno Zoo_244,Bangkok,Scenic,46,1,4.4
245,Colosseum_245,London,Scenic,177,7,4.9
246,Sydney Opera House_246,Tokyo,Scenic,131,1,3.2
247,Sagrada Familia_247,Bangkok,Cultural,77,8,3.4
248,Grand Palace_248,Cape Town,Historical,57,6,4.9
249,Table Mountain_249,Tokyo,Family-friendly,183,4,4.1
250,Christ the Redeemer_250,Paris,Historical,137,4,4.3
251,Eiffel Tower_251,Cape Town,Family-friendly,109,3,3.3
252,Shinjuku Gyoen_252,Paris,Outdoor,49,7,4.3
253,Statue of Liberty_253,Tokyo,Scenic,47,4,3.4
254,British Museum_254,London,Historical,36,3,3.9
255,Pantheon_255,New York,Outdoor,42,6,4.0
256,Louvre Museum_256,Barcelona,Outdoor,18,1,3.9
257,Tokyo Skytree_257,Bangkok,Historical,123,4,3.4
258,Central Park_258,Bangkok,Family-friendly,14,7,4.6
259,Ueno Zoo_259,London,Family-friendly,171,3,3.7
260,Colosseum_260,Barcelona,Family-friendly,89,8,3.2
261,Sydney Opera House_261,Paris,Outdoor,12,7,4.4
262,Sagrada Familia_262,New York,Family-friendly,113,1,3.6
263,Grand Palace_263,Barcelona,Family-friendly,85,4,3.1
264,Table Mountain_264,Paris,Historical,117,1,4.8
265,Christ the Redeemer_265,Barcelona,Outdoor,187,4,3.6
266,Eiffel Tower_266,Rome,Cultural,141,5,3.0
267,Shinjuku Gyoen_267,Bangkok,Outdoor,2,6,4.5
268,Statue of Liberty_268,Rome,Historical,68,3,3.2
269,British Museum_269,Barcelona,Cultural,123,1,3.4
270,Pantheon_270,Cape Town,Cultural,144,6,4.6
271,Louvre Museum_271,Bangkok,Cultural,164,8,3.1
272,Tokyo Skytree_272,New York,Family-friendly,151,4,4.5
273,Central Park_273,London,Family-friendly,69,7,5.0
274,Ueno Zoo_274,Rome,Scenic,16,5,4.4
275,Colosseum_275,London,Scenic,40,8,4.2
276,Sydney Opera House_276,Paris,Historical,198,8,4.5
277,Sagrada Familia_277,Rio de Janeiro,Family-friendly,96,2,3.0
278,Grand Palace_278,Cape Town,Cultural,68,6,3.5
279,Table Mountain_279,Paris,Family-friendly,32,1,4.5
280,Christ the Redeemer_280,Sydney,Cultural,142,3,4.8
281,Eiffel Tower_281,Paris,Outdoor,133,8,3.6
282,Shinjuku Gyoen_282,Paris,Historical,112,4,4.8
283,Statue of Liberty_283,Rio de Janeiro,Historical,145,3,3.8
284,British Museum_284,Bangkok,Family-friendly,115,3,3.0
285,Pantheon_285,Cape Town,Family-friendly,13,3,4.4
286,Louvre Museum_286,Cape Town,Outdoor,94,5,3.1
287,Tokyo Skytree_287,New York,Outdoor,189,4,3.9
288,Central Park_288,Paris,Outdoor,60,1,3.8
289,Ueno Zoo_289,Cape Town,Scenic,36,5,4.6
290,Colosseum_290,Tokyo,Family-friendly,107,6,3.5
291,Sydney Opera House_291,New York,Cultural,198,2,3.1
292,Sagrada Familia_292,Tokyo,Historical,131,1,4.4
293,Grand Palace_293,Rio de Janeiro,Outdoor,197,6,3.0
294,Table Mountain_294,Tokyo,Historical,98,6,3.7
295,Christ the Redeemer_295,London,Scenic,106,3,5.0
296,Eiffel Tower_296,Barcelona,Outdoor,118,6,4.0
297,Shinjuku Gyoen_297,Tokyo,Cultural,152,4,4.5
298,Statue of Liberty_298,Rio de Janeiro,Scenic,15,5,4.2
299,British Museum_299,London,Family-friendly,28,8,4.6
300,Pantheon_300,Rio de Janeiro,Outdoor,106,2,4.4
301,Louvre Museum_301,Rio de Janeiro,Family-friendly,132,5,4.0
302,Tokyo Skytree_302,Paris,Outdoor,178,8,4.2
303,Central Park_303,Rio de Janeiro,Outdoor,98,5,3.1
304,Ueno Zoo_304,Tokyo,Outdoor,176,4,3.9
305,Colosseum_305,Barcelona,Family-friendly,27,7,3.2
306,Sydney Opera House_306,Rio de Janeiro,Outdoor,139,4,4.5
307,Sagrada Familia_307,Rio de Janeiro,Family-friendly,25,8,3.1
308,Grand Palace_308,Cape Town,Outdoor,180,7,4.8
309,Table Mountain_309,Sydney,Cultural,68,3,4.6
310,Christ the Redeemer_310,Rome,Outdoor,119,7,4.4
311,Eiffel Tower_311,London,Historical,97,6,3.3
312,Shinjuku Gyoen_312,Sydney,Family-friendly,35,1,4.6
313,Statue of Liberty_313,London,Scenic,34,8,3.5
314,British Museum_314,Rome,Historical,43,7,3.5
315,Pantheon_315,Barcelona,Scenic,22,5,4.0
316,Louvre Museum_316,New York,Family-friendly,66,4,3.0
317,Tokyo Skytree_317,Rome,Scenic,195,8,4.7
318,Central Park_318,Bangkok,Outdoor,116,3,4.0
319,Ueno Zoo_319,Sydney,Historical,172,4,4.4
320,Colosseum_320,Tokyo,Cultural,20,1,4.3
321,Sydney Opera House_321,Paris,Scenic,26,3,4.5
322,Sagrada Familia_322,Bangkok,Outdoor,188,8,4.3
323,Grand Palace_323,Rio de Janeiro,Outdoor,147,1,4.7
324,Table Mountain_324,Rio de Janeiro,Family-friendly,91,5,3.1
325,Christ the Redeemer_325,Tokyo,Cultural,33,6,3.6
326,Eiffel Tower_326,Tokyo,Cultural,104,5,4.3
327,Shinjuku Gyoen_327,Cape Town,Scenic,101,6,4.5
328,Statue of Liberty_328,London,Family-friendly,89,5,3.0
329,British Museum_329,Cape Town,Family-friendly,48,2,3.2
330,Pantheon_330,Rome,Family-friendly,51,5,3.2
331,Louvre Museum_331,New York,Historical,6,2,3.2
332,Tokyo Skytree_332,Sydney,Cultural,100,2,3.4
333,Central Park_333,Tokyo,Family-friendly,112,7,4.0
334,Ueno Zoo_334,London,Historical,115,8,4.2
335,Colosseum_335,Sydney,Outdoor,197,7,3.5
336,Sydney Opera House_336,Rome,Historical,56,4,3.1
337,Sagrada Familia_337,New York,Family-friendly,158,1,3.3
338,Grand Palace_338,Bangkok,Cultural,187,5,4.8
339,Table Mountain_339,Cape Town,Scenic,82,1,3.8
340,Christ the Redeemer_340,Rome,Historical,72,5,3.2
341,Eiffel Tower_341,Rio de Janeiro,Outdoor,65,6,4.1
342,Shinjuku Gyoen_342,Cape Town,Historical,121,6,4.8
343,Statue of Liberty_343,Paris,Scenic,190,4,3.4
344,British Museum_344,Cape Town,Outdoor,85,2,3.1
345,Pantheon_345,Rome,Family-friendly,90,3,3.3
346,Louvre Museum_346,Tokyo,Family-friendly,108,3,4.4
347,Tokyo Skytree_347,New York,Historical,132,8,4.2
348,Central Park_348,Rome,Scenic,171,4,3.8
349,Ueno Zoo_349,Tokyo,Outdoor,35,1,4.8
350,Colosseum_350,Tokyo,Historical,83,3,4.0
351,Sydney Opera House_351,Cape Town,Outdoor,66,5,4.7
352,Sagrada Familia_352,New York,Scenic,40,6,4.0
353,Grand Palace_353,Rome,Cultural,119,8,4.9
354,Table Mountain_354,Rome,Scenic,171,5,4.2
355,Christ the Redeemer_355,Rio de Janeiro,Outdoor,124,4,3.2
356,Eiffel Tower_356,London,Family-friendly,31,1,5.0
357,Shinjuku Gyoen_357,Sydney,Historical,143,5,4.0
358,Statue of Liberty_358,London,Scenic,194,3,4.7
359,British Museum_359,Rome,Outdoor,85,2,3.8
360,Pantheon_360,Cape Town,Scenic,166,7,3.2
361,Louvre Museum_361,Bangkok,Cultural,80,6,4.5
362,Tokyo Skytree_362,Rome,Historical,19,4,3.0
363,Central Park_363,Paris,Cultural,110,2,3.7
364,Ueno Zoo_364,Tokyo,Family-friendly,136,6,4.8
365,Colosseum_365,Barcelona,Family-friendly,171,4,3.8
366,Sydney Opera House_366,Rome,Historical,119,1,4.7
367,Sagrada Familia_367,Paris,Outdoor,124,1,4.8
368,Grand Palace_368,Paris,Outdoor,10,1,4.5
369,Table Mountain_369,Sydney,Scenic,4,2,4.5
370,Christ the Redeemer_370,New York,Outdoor,16,2,3.5
371,Eiffel Tower_371,Rome,Outdoor,142,8,3.6
372,Shinjuku Gyoen_372,New York,Cultural,69,8,3.8
373,Statue of Liberty_373,Bangkok,Scenic,139,7,4.1
374,British Museum_374,Cape Town,Scenic,71,6,3.7
375,Pantheon_375,Barcelona,Family-friendly,91,1,4.4
376,Louvre Museum_376,Cape Town,Cultural,110,8,4.8
377,Tokyo Skytree_377,Paris,Cultural,75,2,3.6
378,Central Park_378,Tokyo,Cultural,160,8,3.5
379,Ueno Zoo_379,Tokyo,Family-friendly,132,5,4.3
380,Colosseum_380,New York,Outdoor,177,7,5.0
381,Sydney Opera House_381,Cape Town,Outdoor,9,3,3.8
382,Sagrada Familia_382,Paris,Scenic,57,5,4.3
383,Grand Palace_383,Sydney,Cultural,94,3,4.9
384,Table Mountain_384,Rio de Janeiro,Outdoor,103,3,4.9
385,Christ the Redeemer_385,Cape Town,Family-friendly,112,2,4.0
386,Eiffel Tower_386,New York,Cultural,188,8,4.6
387,Shinjuku Gyoen_387,Barcelona,Family-friendly,108,6,3.4
388,Statue of Liberty_388,New York,Scenic,29,1,4.3
389,British Museum_389,Paris,Scenic,18,4,3.4
390,Pantheon_390,Rome,Family-friendly,88,1,4.6
391,Louvre Museum_391,Sydney,Scenic,106,2,3.9
392,Tokyo Skytree_392,Paris,Historical,72,4,4.6
393,Central Park_393,Sydney,Historical,14,5,3.6
394,Ueno Zoo_394,London,Scenic,81,2,4.7
395,Colosseum_395,London,Outdoor,137,3,4.9
396,Sydney Opera House_396,Tokyo,Scenic,126,5,3.4
397,Sagrada Familia_397,Sydney,Cultural,54,6,3.6
398,Grand Palace_398,Cape Town,Outdoor,79,4,3.0
399,Table Mountain_399,Barcelona,Scenic,45,8,3.2
400,Christ the Redeemer_400,Rio de Janeiro,Historical,41,4,4.5
401,Eiffel Tower_401,New York,Historical,177,3,4.7
402,Shinjuku Gyoen_402,London,Historical,46,7,3.8
403,Statue of Liberty_403,New York,Scenic,91,4,4.6
404,British Museum_404,New York,Cultural,48,8,4.9
405,Pantheon_405,Barcelona,Historical,137,8,3.4
406,Louvre Museum_406,Paris,Cultural,100,4,4.3
407,Tokyo Skytree_407,New York,Family-friendly,29,5,4.3
408,Central Park_408,Sydney,Outdoor,171,4,3.9
409,Ueno Zoo_409,Barcelona,Historical,135,1,4.0
410,Colosseum_410,London,Outdoor,31,4,3.5
411,Sydney Opera House_411,Rome,Historical,113,6,3.6
412,Sagrada Familia_412,New York,Historical,196,5,4.0
413,Grand Palace_413,Tokyo,Historical,63,5,3.9
414,Table Mountain_414,Barcelona,Cultural,31,5,3.3
415,Christ the Redeemer_415,Paris,Outdoor,64,4,3.8
416,Eiffel Tower_416,Bangkok,Outdoor,58,8,4.1
417,Shinjuku Gyoen_417,London,Outdoor,13,8,3.2
418,Statue of Liberty_418,London,Historical,158,6,4.2
419,British Museum_419,Bangkok,Scenic,198,6,4.1
420,Pantheon_420,Sydney,Family-friendly,8,5,5.0
421,Louvre Museum_421,Rome,Scenic,186,4,4.7
422,Tokyo Skytree_422,London,Family-friendly,44,8,4.1
423,Central Park_423,London,Outdoor,12,1,4.5
424,Ueno Zoo_424,Paris,Scenic,102,7,3.8
425,Colosseum_425,London,Scenic,130,6,4.2
426,Sydney Opera House_426,Barcelona,Family-friendly,19,5,3.8
427,Sagrada Familia_427,Sydney,Family-friendly,141,6,3.6
428,Grand Palace_428,Rome,Family-friendly,55,6,3.2
429,Table Mountain_429,Tokyo,Cultural,109,7,4.0
430,Christ the Redeemer_430,Rome,Outdoor,154,2,4.6
431,Eiffel Tower_431,Sydney,Family-friendly,30,2,4.9
432,Shinjuku Gyoen_432,Cape Town,Scenic,33,5,4.1
433,Statue of Liberty_433,Barcelona,Outdoor,64,5,3.8
434,British Museum_434,Cape Town,Outdoor,132,6,4.6
435,Pantheon_435,Sydney,Outdoor,159,1,4.9
436,Louvre Museum_436,Paris,Cultural,172,1,5.0
437,Tokyo Skytree_437,Tokyo,Historical,117,7,4.7
438,Central Park_438,Rome,Outdoor,25,1,4.8
439,Ueno Zoo_439,New York,Family-friendly,171,1,3.5
440,Colosseum_440,Rio de Janeiro,Scenic,62,1,4.8
441,Sydney Opera House_441,Rome,Family-friendly,195,3,4.7
442,Sagrada Familia_442,Paris,Family-friendly,126,3,3.5
443,Grand Palace_443,Tokyo,Outdoor,54,6,3.3
444,Table Mountain_444,Rio de Janeiro,Historical,143,6,3.1
445,Christ the Redeemer_445,Barcelona,Historical,139,7,3.2
446,Eiffel Tower_446,Sydney,Scenic,190,7,4.4
447,Shinjuku Gyoen_447,Sydney,Cultural,125,5,4.8
448,Statue of Liberty_448,Barcelona,Outdoor,176,7,3.4
449,British Museum_449,Rio de Janeiro,Historical,39,1,3.6
450,Pantheon_450,Cape Town,Cultural,64,4,4.2
451,Louvre Museum_451,Tokyo,Scenic,160,3,4.5
452,Tokyo Skytree_452,Barcelona,Cultural,11,8,3.5
453,Central Park_453,Rio de Janeiro,Historical,193,8,4.5
454,Ueno Zoo_454,London,Scenic,177,1,4.7
455,Colosseum_455,Rome,Cultural,8,6,4.8
456,Sydney Opera House_456,Paris,Scenic,35,7,4.4
457,Sagrada Familia_457,Barcelona,Historical,76,5,3.3
