ParticipantID,Interface,InputType,Input,DwellTime,Clicks,SUS,NASA_TLX,TimeToFinalize,Iterations,Satisfaction
16,Form-based,Slider,Budget ≤ $500,10.6,2,80.8,31.5,13.6,3.3,4.1
16,Hybrid,Text+Dropdown,Make it family-friendly,14.2,4,95.5,23.1,15.2,1.4,4.5
17,Conversational,Text,Make it family-friendly,16.1,1,79.9,35.3,14.4,3.6,3.4
17,Form-based,Slider,Scenic views in Sydney,10.5,4,81.8,31.0,15.4,4.0,4.5
17,Hybrid,Text+Dropdown,Make it family-friendly,12.8,4,81.2,26.3,13.0,3.5,4.6
18,Conversational,Text,Budget-friendly Paris trip,16.9,3,87.1,35.5,16.2,3.9,3.6
18,Form-based,Slider,Budget-friendly Paris trip,7.8,4,84.9,39.3,16.2,3.7,4.4
18,Hybrid,Text+Dropdown,Cultural activities in Tokyo,18.9,4,88.0,28.3,12.0,3.5,4.2
19,Conversational,Text,Romantic dinner in Rome,15.3,1,70.5,31.7,17.7,5.2,4.2
19,Form-based,Slider,Budget ≤ $500,8.3,1,79.4,29.9,13.7,3.0,4.6
19,Hybrid,Text+Dropdown,Add outdoor activities; Duration ≤ 2h,13.2,4,81.2,27.4,12.5,2.5,4.2
20,Conversational,Text,Budget ≤ $500,8.2,5,79.6,36.1,13.8,4.5,2.8
20,Form-based,Slider,Max cost $300,8.3,1,74.8,33.6,14.2,5.3,4.5
20,Hybrid,Text+Dropdown,Make it family-friendly,9.8,4,86.0,24.2,11.8,2.8,4.8
21,Conversational,Text,Cultural activities in Tokyo,11.7,1,81.6,48.7,14.6,4.7,4.3
21,Form-based,Slider,Cultural activities in Tokyo,10.1,2,81.0,34.9,13.7,2.8,4.0
21,Hybrid,Text+Dropdown,Max cost $300,13.0,5,94.7,33.4,15.2,2.4,5.0
22,Conversational,Text,Scenic views in Sydney,11.3,4,93.8,34.2,12.9,3.4,2.3
22,Form-based,Slider,Make it family-friendly,7.1,4,74.6,35.6,14.2,5.8,4.6
22,Hybrid,Text+Dropdown,Max cost $300,10.9,5,80.8,31.2,9.7,4.5,5.2
23,Conversational,Text,Add outdoor activities; Duration ≤ 2h,11.0,3,65.3,47.6,14.6,5.8,2.7
23,Form-based,Slider,Scenic views in Sydney,8.3,2,79.5,35.1,12.6,4.4,3.4
23,Hybrid,Text+Dropdown,Max cost $300,16.4,5,86.8,31.3,12.9,2.1,3.8
24,Conversational,Text,Cultural activities in Tokyo,13.3,4,80.2,34.6,18.6,4.4,4.6
24,Form-based,Slider,Add outdoor activities; Duration ≤ 2h,12.5,4,92.9,44.5,13.0,4.8,4.4
24,Hybrid,Text+Dropdown,Scenic views in Sydney,6.1,5,80.4,32.1,13.5,1.6,4.0
25,Conversational,Text,Romantic dinner in Rome,8.3,4,75.8,43.6,18.5,4.3,4.9
25,Form-based,Slider,Romantic dinner in Rome,8.5,1,68.4,34.5,14.3,3.7,2.8
25,Hybrid,Text+Dropdown,Budget-friendly Paris trip,9.1,2,78.4,32.0,12.4,2.2,4.3
26,Conversational,Text,Romantic dinner in Rome,10.3,2,77.3,45.1,12.5,4.9,3.4
26,Form-based,Slider,Make it family-friendly,8.8,4,78.8,29.1,12.3,2.4,5.2
26,Hybrid,Text+Dropdown,Budget-friendly Paris trip,14.7,3,82.0,29.9,11.6,2.8,4.9
27,Conversational,Text,Scenic views in Sydney,17.9,2,73.9,35.6,14.2,1.2,2.7
27,Form-based,Slider,Budget ≤ $500,11.8,3,90.2,33.4,14.7,4.0,5.8
27,Hybrid,Text+Dropdown,Cultural activities in Tokyo,8.0,3,85.3,24.4,9.2,3.2,4.2
28,Conversational,Text,Free activities in London,18.3,5,73.1,32.5,18.9,5.3,3.8
28,Form-based,Slider,Scenic views in Sydney,8.2,1,80.0,30.1,16.7,4.3,3.4
28,Hybrid,Text+Dropdown,Cultural activities in Tokyo,14.1,2,80.9,22.4,13.3,4.5,3.9
29,Conversational,Text,Scenic views in Sydney,10.2,3,73.1,36.2,13.5,3.1,3.8
29,Form-based,Slider,Make it family-friendly,10.8,2,81.3,34.5,13.0,2.7,3.7
29,Hybrid,Text+Dropdown,Romantic dinner in Rome,14.1,4,89.1,24.3,12.0,3.6,3.8
30,Conversational,Text,Free activities in London,13.3,3,73.0,42.7,13.1,1.9,2.7
30,Form-based,Slider,Budget-friendly Paris trip,5.3,4,81.2,29.8,14.8,1.9,4.0
30,Hybrid,Text+Dropdown,Free activities in London,10.6,4,82.3,29.1,10.4,2.7,5.1
31,Conversational,Text,Make it family-friendly,10.3,5,83.9,32.2,16.2,6.1,2.1
31,Form-based,Slider,Free activities in London,8.3,1,83.3,33.7,14.3,3.0,4.1
31,Hybrid,Text+Dropdown,Budget-friendly Paris trip,11.1,5,93.0,30.1,12.3,2.7,4.4
32,Conversational,Text,Free activities in London,12.0,5,80.7,36.6,15.6,6.9,4.4
32,Form-based,Slider,Free activities in London,7.7,3,87.3,32.6,9.2,2.6,2.9
32,Hybrid,Text+Dropdown,Romantic dinner in Rome,5.5,2,86.2,36.8,12.3,2.8,5.0
33,Conversational,Text,Add outdoor activities; Duration ≤ 2h,11.6,2,79.5,44.0,11.4,5.7,4.0
33,Form-based,Slider,Budget-friendly Paris trip,6.3,4,83.6,47.3,13.9,4.0,3.7
33,Hybrid,Text+Dropdown,Scenic views in Sydney,13.4,4,91.0,24.9,11.9,2.6,4.8
34,Conversational,Text,Add outdoor activities; Duration ≤ 2h,14.4,5,85.4,36.0,14.3,2.9,3.5
34,Form-based,Slider,Add outdoor activities; Duration ≤ 2h,14.0,2,84.4,29.7,15.3,5.2,4.2
34,Hybrid,Text+Dropdown,Make it family-friendly,12.2,4,81.5,23.1,9.0,4.2,4.9
35,Conversational,Text,Add outdoor activities; Duration ≤ 2h,15.6,4,79.8,32.2,20.8,4.4,3.9
35,Form-based,Slider,Cultural activities in Tokyo,12.5,2,82.6,36.0,11.8,4.2,5.1
35,Hybrid,Text+Dropdown,Budget ≤ $500,15.8,5,95.5,26.5,10.2,2.9,4.6
36,Conversational,Text,Budget-friendly Paris trip,7.3,4,65.4,48.7,14.5,3.6,3.1
36,Form-based,Slider,Max cost $300,13.4,2,84.9,35.2,10.8,2.3,3.8
36,Hybrid,Text+Dropdown,Romantic dinner in Rome,12.2,4,84.6,21.8,11.4,2.8,3.3
37,Conversational,Text,Scenic views in Sydney,9.2,4,76.1,43.5,19.3,5.7,3.6
37,Form-based,Slider,Budget ≤ $500,8.3,2,96.2,35.1,13.5,3.7,4.1
37,Hybrid,Text+Dropdown,Make it family-friendly,12.7,3,82.7,26.3,11.7,2.6,4.2
38,Conversational,Text,Make it family-friendly,5.8,5,75.9,48.5,8.5,5.6,4.7
38,Form-based,Slider,Scenic views in Sydney,13.6,4,77.3,32.8,10.5,2.8,3.3
38,Hybrid,Text+Dropdown,Scenic views in Sydney,13.9,5,91.6,34.9,13.0,2.1,4.3
39,Conversational,Text,Scenic views in Sydney,14.7,5,68.9,43.6,14.3,3.7,4.3
39,Form-based,Slider,Cultural activities in Tokyo,7.8,2,77.2,41.2,11.2,4.4,4.4
39,Hybrid,Text+Dropdown,Budget-friendly Paris trip,15.7,5,88.0,23.0,13.3,2.9,4.3
40,Conversational,Text,Make it family-friendly,19.2,4,72.7,30.5,11.2,5.0,2.9
40,Form-based,Slider,Add outdoor activities; Duration ≤ 2h,9.8,2,66.0,44.1,13.9,3.6,3.7
40,Hybrid,Text+Dropdown,Budget ≤ $500,12.2,5,85.9,34.1,12.0,3.1,4.4
41,Conversational,Text,Add outdoor activities; Duration ≤ 2h,12.5,2,80.0,28.6,11.7,5.2,3.9
41,Form-based,Slider,Cultural activities in Tokyo,6.0,1,79.6,36.7,12.4,2.8,4.1
41,Hybrid,Text+Dropdown,Budget ≤ $500,15.4,5,88.5,20.9,13.4,3.4,4.7
42,Conversational,Text,Romantic dinner in Rome,13.2,4,90.0,45.5,10.5,2.5,3.4
42,Form-based,Slider,Add outdoor activities; Duration ≤ 2h,4.8,1,82.9,30.8,13.9,2.9,3.6
42,Hybrid,Text+Dropdown,Romantic dinner in Rome,20.6,3,80.7,22.5,10.2,3.8,4.1
43,Conversational,Text,Budget-friendly Paris trip,13.5,4,81.4,40.3,12.8,5.1,3.4
43,Form-based,Slider,Budget ≤ $500,13.7,2,96.1,34.3,15.9,2.9,4.0
43,Hybrid,Text+Dropdown,Romantic dinner in Rome,15.4,3,82.4,37.4,12.9,2.6,4.9
44,Conversational,Text,Free activities in London,15.3,1,82.3,29.5,13.2,3.9,3.7
44,Form-based,Slider,Free activities in London,11.7,3,80.7,27.5,14.3,4.4,4.3
44,Hybrid,Text+Dropdown,Add outdoor activities; Duration ≤ 2h,13.0,4,91.0,31.1,11.7,1.7,4.8
45,Conversational,Text,Romantic dinner in Rome,15.5,5,79.8,31.3,12.3,5.6,3.8
45,Form-based,Slider,Make it family-friendly,7.4,1,79.7,35.0,15.5,3.1,4.1
45,Hybrid,Text+Dropdown,Budget ≤ $500,9.6,5,83.5,27.4,12.2,2.6,5.2
46,Conversational,Text,Max cost $300,7.9,1,76.4,36.5,18.4,4.5,4.5
46,Form-based,Slider,Free activities in London,12.6,4,81.2,39.7,13.7,4.9,3.7
46,Hybrid,Text+Dropdown,Romantic dinner in Rome,10.8,4,99.7,27.2,11.1,4.2,5.4
47,Conversational,Text,Scenic views in Sydney,10.4,5,74.7,37.5,11.7,3.0,3.1
47,Form-based,Slider,Romantic dinner in Rome,8.1,3,79.3,36.1,16.8,2.6,4.6
47,Hybrid,Text+Dropdown,Budget ≤ $500,13.9,4,85.8,32.1,10.0,3.3,4.7
48,Conversational,Text,Max cost $300,11.2,5,79.9,54.4,13.4,3.5,3.4
48,Form-based,Slider,Scenic views in Sydney,10.0,3,75.4,41.3,16.5,3.1,3.5
48,Hybrid,Text+Dropdown,Free activities in London,18.0,5,82.8,31.9,12.1,1.8,5.4
49,Conversational,Text,Max cost $300,20.1,3,73.3,36.8,15.6,4.6,4.3
49,Form-based,Slider,Budget ≤ $500,13.7,2,78.3,30.4,10.6,2.9,4.0
49,Hybrid,Text+Dropdown,Cultural activities in Tokyo,10.8,2,83.0,30.0,11.8,4.0,5.9
50,Conversational,Text,Romantic dinner in Rome,11.8,5,74.2,45.7,16.5,6.6,4.2
50,Form-based,Slider,Free activities in London,12.0,3,83.3,40.9,15.2,4.3,4.6
50,Hybrid,Text+Dropdown,Budget-friendly Paris trip,9.9,4,94.3,31.9,11.5,3.1,5.2
